title,unique_code,status,department,team,employment_type,location,remote_policy,salary_min,salary_max,salary_notes,description,requirements,preferred_requirements,benefits,selection_process,headcount,notes
介護福祉士（特別養護老人ホーム）,JOB-2024-001,active,介護部,ユニットケアチーム,full_time,東京都世田谷区,出社必須,300,400,経験・資格に応じて決定,"特別養護老人ホーム「さくら苑」での介護業務全般
・食事、入浴、排泄介助
・レクリエーション企画・実施
・記録作成（タブレット使用）
・ご家族対応
ユニット型（10名定員）で個別ケアを重視","・介護福祉士資格必須
・介護実務経験2年以上
・夜勤対応可能な方","・特養での勤務経験
・認知症ケア実践者研修修了
・リーダー経験","・賞与年2回（計3.5ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・退職金制度
・資格取得支援制度
・住宅手当（条件あり）",書類選考 → 一次面接 → 施設見学・最終面接,3,急募。退職者補充のため
看護師（有料老人ホーム）,JOB-2024-002,active,看護部,日勤チーム,full_time,東京都目黒区,出社必須,400,500,経験・スキルに応じて決定,"有料老人ホーム「ひまわりガーデン」での看護業務
・入居者様の健康管理
・服薬管理・医療処置
・往診医との連携
・介護スタッフへの指導
・緊急時対応
日勤のみ・オンコールなし","・正看護師資格必須
・臨床経験3年以上
・高齢者医療に興味のある方","・介護施設での勤務経験
・認知症看護経験
・糖尿病・褥瘡ケアの知識","・賞与年2回（計4ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・退職金制度
・制服貸与",書類選考 → 面接 → 施設見学,2,日勤のみで働きやすい環境
ケアマネジャー（居宅介護支援）,JOB-2024-003,active,居宅介護支援事業所,,full_time,東京都新宿区,週1日在宅可,350,450,担当件数に応じたインセンティブあり,"居宅介護支援事業所でのケアマネジメント業務
・ケアプラン作成・モニタリング
・サービス担当者会議の開催
・要介護認定申請代行
・給付管理
・利用者様・ご家族への相談支援","・介護支援専門員資格必須
・主任ケアマネジャー資格尚可
・普通自動車運転免許","・居宅ケアマネ経験2年以上
・特定事業所加算算定経験
・地域包括支援センター経験","・賞与年2回（計3ヶ月）
・担当件数手当
・昇給年1回
・交通費全額支給
・社会保険完備
・直行直帰可",書類選考 → 一次面接 → 最終面接,1,
理学療法士（介護老人保健施設）,JOB-2024-004,active,リハビリテーション科,,full_time,神奈川県横浜市,出社必須,380,480,経験・資格に応じて決定,"介護老人保健施設でのリハビリテーション業務
・個別リハビリ計画作成・実施
・集団リハビリ（体操・レクリエーション）
・在宅復帰支援
・福祉用具選定・住宅改修アドバイス
・多職種カンファレンス参加","・理学療法士国家資格必須
・リハビリ実務経験2年以上","・老健・回復期病棟での経験
・認知症リハビリテーション経験
・在宅復帰支援実績","・賞与年2回（計3.8ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・学会参加費補助
・資格更新費用負担",書類選考 → 適性検査 → 面接 → 施設見学,1,
介護職員（未経験OK）,JOB-2024-005,active,介護部,デイサービス,full_time,東京都練馬区,出社必須,250,320,資格取得で昇給あり,"デイサービス「さくらの里」での介護業務
・送迎業務（社用車使用）
・入浴・食事介助
・レクリエーション企画・実施
・機能訓練補助
・記録作成
未経験でも丁寧に指導します！","・普通自動車運転免許（AT限定可）
・未経験・無資格OK
・人と接することが好きな方","・介護職員初任者研修修了
・福祉系学校卒業
・接客業経験","・賞与年2回（計2ヶ月）
・昇給年1回
・交通費支給（上限3万円）
・社会保険完備
・資格取得支援制度（全額会社負担）
・研修制度充実",書類選考 → 面接 → 体験入社（1日）,5,積極採用中！
訪問介護スタッフ（サービス提供責任者候補）,JOB-2024-006,active,訪問介護事業所,,full_time,東京都杉並区,直行直帰可,320,400,サ責昇格後は手当追加,"訪問介護事業所での介護業務
・利用者様宅での身体介護・生活援助
・訪問介護計画書作成補助
・ヘルパーへの同行指導
・サービス提供責任者業務（候補）
直行直帰OK！自転車・バイク貸与","・介護福祉士資格必須
・訪問介護経験1年以上
・普通自動車運転免許（原付可）","・サービス提供責任者経験
・介護職員実務者研修修了
・ヘルパー指導経験","・賞与年2回（計2.5ヶ月）
・サ責手当（月3万円）
・昇給年1回
・交通費全額支給
・社会保険完備
・自転車・バイク貸与",書類選考 → 面接 → 同行訪問体験,2,サ責候補として育成予定
准看護師（グループホーム）,JOB-2024-007,active,看護部,,full_time,千葉県船橋市,出社必須,320,380,正看護師資格取得支援あり,"グループホーム（認知症対応型共同生活介護）での看護業務
・入居者様の健康管理
・服薬管理
・往診医との連携
・介護スタッフへの医療的アドバイス
・緊急時対応
定員9名の小規模施設で落ち着いた環境","・准看護師資格必須
・臨床経験2年以上
・認知症ケアに興味のある方","・介護施設での勤務経験
・認知症看護経験
・グループホーム勤務経験","・賞与年2回（計3ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・正看護師資格取得支援（学費補助）",書類選考 → 面接 → 施設見学,1,正看取得を目指す方歓迎
夜勤専従介護スタッフ,JOB-2024-008,active,介護部,夜勤チーム,part_time,東京都大田区,出社必須,,,1回28,000円〜32,000円,"特別養護老人ホームでの夜勤専従業務
・巡回・安否確認
・排泄介助・体位変換
・緊急時対応
・朝食準備補助
・記録作成
16:30〜翌9:30（休憩2時間）","・介護職員初任者研修以上
・介護実務経験1年以上
・夜勤勤務に適性のある方","・介護福祉士資格
・特養での夜勤経験
・緊急時対応経験","・1回28,000円〜32,000円（経験による）
・交通費全額支給
・社会保険（条件による）
・食事補助
・制服貸与",書類選考 → 面接 → 夜勤体験（希望者）,3,月10回程度。Wワーク可
作業療法士（デイケア）,JOB-2024-009,active,リハビリテーション科,,full_time,埼玉県さいたま市,出社必須,370,450,経験・資格に応じて決定,"通所リハビリテーション（デイケア）でのOT業務
・個別リハビリ計画作成・実施
・IADL訓練（調理・買い物など）
・認知機能訓練
・自助具・福祉用具の選定
・在宅生活支援
・多職種連携","・作業療法士国家資格必須
・リハビリ実務経験2年以上","・通所リハ・デイケア経験
・認知症リハビリテーション経験
・生活行為向上マネジメント経験","・賞与年2回（計4ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・学会参加費補助
・資格更新費用負担",書類選考 → 適性検査 → 面接 → 施設見学,1,
管理栄養士（特別養護老人ホーム）,JOB-2024-010,active,栄養管理部,,full_time,東京都板橋区,出社必須,320,400,経験・資格に応じて決定,"特別養護老人ホームでの栄養管理業務
・献立作成・栄養計算
・食材発注・在庫管理
・調理スタッフへの指導
・栄養ケア計画作成
・ミールラウンド・食事形態調整
・衛生管理","・管理栄養士資格必須
・給食施設での勤務経験2年以上
・高齢者施設での経験尚可","・特養・老健での勤務経験
・嚥下食・ソフト食対応経験
・大量調理経験（100食以上）","・賞与年2回（計3ヶ月）
・昇給年1回
・交通費全額支給
・社会保険完備
・退職金制度
・昼食補助",書類選考 → 面接 → 厨房見学,1,
