id,title,department,employment_type,job_category,description,requirements,preferred_skills,salary_min,salary_max,work_location,work_hours,benefits,number_of_positions,status,published_at,deadline,notes,created_by_id,created_at,updated_at
j001-0000-0000-0000-000000000001,介護福祉士（特別養護老人ホーム）,介護部,full_time,介護職,"特別養護老人ホーム「さくら苑」での介護業務全般
・食事、入浴、排泄介助
・レクリエーション企画・実施
・記録作成（タブレット使用）
・ご家族対応
ユニット型（10名定員）で個別ケアを重視","・介護福祉士資格必須
・介護実務経験2年以上
・夜勤対応可能な方","特養での勤務経験、認知症ケア実践者研修修了、リーダー経験",300,400,東京都世田谷区,8:30-17:30（シフト制）,"賞与年2回（計3.5ヶ月）、昇給年1回、交通費全額支給、社会保険完備、退職金制度、資格取得支援制度",3,published,2024-11-01T09:00:00+09:00,2025-01-31,急募。退職者補充のため,,2024-10-15T10:00:00+09:00,2024-12-20T14:00:00+09:00
j002-0000-0000-0000-000000000002,看護師（有料老人ホーム）,看護部,full_time,看護職,"有料老人ホーム「ひまわりガーデン」での看護業務
・入居者様の健康管理
・服薬管理・医療処置
・往診医との連携
・介護スタッフへの指導
・緊急時対応
日勤のみ・オンコールなし","・正看護師資格必須
・臨床経験3年以上
・高齢者医療に興味のある方","介護施設での勤務経験、認知症看護経験、糖尿病・褥瘡ケアの知識",400,500,東京都目黒区,9:00-18:00,"賞与年2回（計4ヶ月）、昇給年1回、交通費全額支給、社会保険完備、退職金制度、制服貸与",2,published,2024-11-15T09:00:00+09:00,2025-02-28,日勤のみで働きやすい環境,,2024-11-01T10:00:00+09:00,2024-12-15T11:00:00+09:00
j003-0000-0000-0000-000000000003,ケアマネジャー（居宅介護支援）,居宅介護支援事業所,full_time,相談職,"居宅介護支援事業所でのケアマネジメント業務
・ケアプラン作成・モニタリング
・サービス担当者会議の開催
・要介護認定申請代行
・給付管理
・利用者様・ご家族への相談支援","・介護支援専門員資格必須
・主任ケアマネジャー資格尚可
・普通自動車運転免許","居宅ケアマネ経験2年以上、特定事業所加算算定経験、地域包括支援センター経験",350,450,東京都新宿区,9:00-18:00（直行直帰可）,"賞与年2回（計3ヶ月）、担当件数手当、昇給年1回、交通費全額支給、社会保険完備",1,published,2024-12-01T09:00:00+09:00,2025-01-31,,,2024-11-20T10:00:00+09:00,2024-12-10T09:00:00+09:00
j004-0000-0000-0000-000000000004,理学療法士（介護老人保健施設）,リハビリテーション科,full_time,リハビリ職,"介護老人保健施設でのリハビリテーション業務
・個別リハビリ計画作成・実施
・集団リハビリ（体操・レクリエーション）
・在宅復帰支援
・福祉用具選定・住宅改修アドバイス
・多職種カンファレンス参加","・理学療法士国家資格必須
・リハビリ実務経験2年以上","老健・回復期病棟での経験、認知症リハビリテーション経験、在宅復帰支援実績",380,480,神奈川県横浜市,8:30-17:30,"賞与年2回（計3.8ヶ月）、昇給年1回、交通費全額支給、社会保険完備、学会参加費補助、資格更新費用負担",1,published,2024-11-20T09:00:00+09:00,2025-02-15,,,2024-11-10T10:00:00+09:00,2024-12-05T14:00:00+09:00
j005-0000-0000-0000-000000000005,介護職員（未経験OK）,介護部,full_time,介護職,"デイサービス「さくらの里」での介護業務
・送迎業務（社用車使用）
・入浴・食事介助
・レクリエーション企画・実施
・機能訓練補助
・記録作成
未経験でも丁寧に指導します！","・普通自動車運転免許（AT限定可）
・未経験・無資格OK
・人と接することが好きな方","介護職員初任者研修修了、福祉系学校卒業、接客業経験",250,320,東京都練馬区,8:30-17:30,"賞与年2回（計2ヶ月）、昇給年1回、交通費支給（上限3万円）、社会保険完備、資格取得支援制度（全額会社負担）、研修制度充実",5,published,2024-11-01T09:00:00+09:00,2025-03-31,積極採用中！,,2024-10-20T10:00:00+09:00,2024-12-01T09:00:00+09:00
j006-0000-0000-0000-000000000006,訪問介護スタッフ（サービス提供責任者候補）,訪問介護事業所,full_time,介護職,"訪問介護事業所での介護業務
・利用者様宅での身体介護・生活援助
・訪問介護計画書作成補助
・ヘルパーへの同行指導
・サービス提供責任者業務（候補）
直行直帰OK！","・介護福祉士資格必須
・訪問介護経験1年以上
・普通自動車運転免許（原付可）","サービス提供責任者経験、介護職員実務者研修修了、ヘルパー指導経験",320,400,東京都杉並区,9:00-18:00（直行直帰可）,"賞与年2回（計2.5ヶ月）、サ責手当（月3万円）、昇給年1回、交通費全額支給、社会保険完備、自転車・バイク貸与",2,published,2024-10-15T09:00:00+09:00,2025-01-15,サ責候補として育成予定,,2024-10-01T10:00:00+09:00,2024-11-20T11:00:00+09:00
j007-0000-0000-0000-000000000007,准看護師（グループホーム）,看護部,full_time,看護職,"グループホーム（認知症対応型共同生活介護）での看護業務
・入居者様の健康管理
・服薬管理
・往診医との連携
・介護スタッフへの医療的アドバイス
・緊急時対応
定員9名の小規模施設で落ち着いた環境","・准看護師資格必須
・臨床経験2年以上
・認知症ケアに興味のある方","介護施設での勤務経験、認知症看護経験、グループホーム勤務経験",320,380,千葉県船橋市,9:00-18:00,"賞与年2回（計3ヶ月）、昇給年1回、交通費全額支給、社会保険完備、正看護師資格取得支援（学費補助）",1,published,2024-11-10T09:00:00+09:00,2025-01-31,正看取得を目指す方歓迎,,2024-10-25T10:00:00+09:00,2024-12-08T14:00:00+09:00
j008-0000-0000-0000-000000000008,夜勤専従介護スタッフ,介護部,part_time,介護職,"特別養護老人ホームでの夜勤専従業務
・巡回・安否確認
・排泄介助・体位変換
・緊急時対応
・朝食準備補助
・記録作成
16:30〜翌9:30（休憩2時間）","・介護職員初任者研修以上
・介護実務経験1年以上
・夜勤勤務に適性のある方","介護福祉士資格、特養での夜勤経験、緊急時対応経験",,,東京都大田区,16:30-翌9:30,"1回28,000円〜32,000円（経験による）、交通費全額支給、社会保険（条件による）、食事補助、制服貸与",3,published,2024-11-15T09:00:00+09:00,2025-02-28,月10回程度。Wワーク可,,2024-11-01T10:00:00+09:00,2024-12-01T11:00:00+09:00
j009-0000-0000-0000-000000000009,作業療法士（デイケア）,リハビリテーション科,full_time,リハビリ職,"通所リハビリテーション（デイケア）でのOT業務
・個別リハビリ計画作成・実施
・IADL訓練（調理・買い物など）
・認知機能訓練
・自助具・福祉用具の選定
・在宅生活支援
・多職種連携","・作業療法士国家資格必須
・リハビリ実務経験2年以上","通所リハ・デイケア経験、認知症リハビリテーション経験、生活行為向上マネジメント経験",370,450,埼玉県さいたま市,8:30-17:30,"賞与年2回（計4ヶ月）、昇給年1回、交通費全額支給、社会保険完備、学会参加費補助、資格更新費用負担",1,published,2024-12-01T09:00:00+09:00,2025-02-28,,,2024-11-15T10:00:00+09:00,2024-12-15T09:00:00+09:00
j010-0000-0000-0000-000000000010,管理栄養士（特別養護老人ホーム）,栄養管理部,full_time,栄養職,"特別養護老人ホームでの栄養管理業務
・献立作成・栄養計算
・食材発注・在庫管理
・調理スタッフへの指導
・栄養ケア計画作成
・ミールラウンド・食事形態調整
・衛生管理","・管理栄養士資格必須
・給食施設での勤務経験2年以上
・高齢者施設での経験尚可","特養・老健での勤務経験、嚥下食・ソフト食対応経験、大量調理経験（100食以上）",320,400,東京都板橋区,8:00-17:00,"賞与年2回（計3ヶ月）、昇給年1回、交通費全額支給、社会保険完備、退職金制度、昼食補助",1,published,2024-11-20T09:00:00+09:00,2025-01-31,,,2024-11-05T10:00:00+09:00,2024-11-20T11:00:00+09:00
