category,name,code,display_order,color,is_active,is_terminal,description
application,新規応募,new,1,#3B82F6,TRUE,FALSE,応募受付直後の状態
application,書類選考中,document_screening,2,#8B5CF6,TRUE,FALSE,履歴書・職務経歴書の確認中
application,書類通過,document_passed,3,#10B981,TRUE,FALSE,書類選考通過。面接調整へ
application,書類不合格,document_rejected,4,#EF4444,TRUE,TRUE,書類選考で不合格
application,面接調整中,interview_scheduled,5,#F59E0B,TRUE,FALSE,面接日程を調整中
application,面接中,interviewing,6,#6366F1,TRUE,FALSE,面接選考中
application,内定検討中,offer_pending,7,#EC4899,TRUE,FALSE,内定可否を検討中
application,内定,offer_made,8,#14B8A6,TRUE,FALSE,内定通知済み。回答待ち
application,内定承諾,offer_accepted,9,#22C55E,TRUE,TRUE,入社確定
application,内定辞退,offer_declined,10,#F97316,TRUE,TRUE,候補者都合で辞退
application,不採用,rejected,11,#DC2626,TRUE,TRUE,選考の結果不採用
application,辞退,withdrawn,12,#6B7280,TRUE,TRUE,候補者都合で選考辞退
application,保留,on_hold,13,#9CA3AF,TRUE,FALSE,一時的に選考保留
interview,予定,scheduled,1,#3B82F6,TRUE,FALSE,面接日時確定
interview,確定,confirmed,2,#10B981,TRUE,FALSE,面接官・候補者双方確認済み
interview,実施中,in_progress,3,#F59E0B,TRUE,FALSE,面接実施中
interview,完了,completed,4,#22C55E,TRUE,TRUE,面接終了
interview,キャンセル,cancelled,5,#EF4444,TRUE,TRUE,キャンセルされた面接
interview,欠席,no_show,6,#DC2626,TRUE,TRUE,候補者が欠席
interview,再調整,rescheduled,7,#9CA3AF,TRUE,FALSE,日程再調整が必要
